date,open,high,low,close,adj close,volume
12/28/23,263.6600036621094,265.1300048828125,252.7100067138672,253.17999267578125,253.17999267578125,113157100
12/27/23,258.3500061035156,263.3399963378906,257.5199890136719,261.44000244140625,261.44000244140625,106494400
12/26/23,254.4900054931641,257.9700012207031,252.91000366210932,256.6099853515625,256.6099853515625,86892400
12/22/23,256.7600098,258.2200012207031,251.3699951171875,252.5399932861328,252.5399932861328,93249800
12/21/23,251.8999938964844,254.8000030517578,248.5500030517578,254.5,254.5,109594200
12/20/23,256.4100036621094,259.8399963378906,247,247.13999938964844,247.13999938964844,125097000
12/19/23,253.47999572753903,258.3399963378906,253.0099945,257.2200012207031,257.2200012207031,106737400
12/18/23,253.77999877929688,258.7399902,251.3600006103516,252.0800018310547,252.0800018310547,116416500
12/15/23,251.2100067138672,254.1300048828125,248.3000030517578,253.5,253.5,135720800
12/14/23,241.22000122070312,253.8800048828125,240.7899932861328,251.0500030517578,251.0500030517578,160829200
12/13/23,234.19000244140625,240.3000030517578,228.1999969482422,239.2899932861328,239.2899932861328,146286300
12/12/23,238.5500030517578,238.9900054931641,233.8699951171875,237.0099945,237.0099945,95328300
12/11/23,242.7400054931641,243.44000244140625,237.4499969482422,239.7400054931641,239.7400054931641,97913900
12/8/23,240.2700042724609,245.2700042724609,239.2700042724609,243.83999633789065,243.83999633789065,102980100
12/7/23,241.5500030517578,244.0800018310547,236.97999572753903,242.63999938964844,242.63999938964844,107142300
12/6/23,242.9199981689453,246.57000732421875,239.1699981689453,239.3699951171875,239.3699951171875,126436200
12/5/23,233.8699951171875,246.66000366210932,233.6999969482422,238.72000122070312,238.72000122070312,137971100
12/4/23,235.75,239.3699951171875,233.2899932861328,235.5800018310547,235.5800018310547,104099800
12/1/23,233.13999938964844,240.19000244140625,231.8999938964844,238.8300018310547,238.8300018310547,121173500
11/30/23,245.13999938964844,245.22000122070312,236.91000366210932,240.0800018310547,240.0800018310547,132353200
11/29/23,249.2100067138672,252.75,242.7599945,244.13999938964844,244.13999938964844,135401300
11/28/23,236.67999267578125,247,234.0099945,246.72000122070312,246.72000122070312,148549900
11/27/23,236.88999938964844,238.3300018310547,232.1000061035156,236.0800018310547,236.0800018310547,112031800
11/24/23,233.75,238.75,232.3300018310547,235.4499969482422,235.4499969482422,65125200
11/22/23,242.0399932861328,244.0099945,231.3999938964844,234.2100067138672,234.2100067138672,117950600
11/21/23,235.0399932861328,243.6199951171875,233.33999633789065,241.1999969482422,241.1999969482422,122288000
11/20/23,234.0399932861328,237.1000061035156,231.0200042724609,235.6000061035156,235.6000061035156,116320100
11/17/23,232,237.38999938964844,226.5399932861328,234.3000030517578,234.3000030517578,142532800
11/16/23,239.4900054931641,240.8800048828125,230.9600067138672,233.58999633789065,233.58999633789065,136816800
11/15/23,239.2899932861328,246.6999969482422,236.4499969482422,242.83999633789065,242.83999633789065,150354000
11/14/23,235.02999877929688,238.13999938964844,230.72000122070312,237.41000366210932,237.41000366210932,149771600
11/13/23,215.6000061035156,225.3999938964844,211.6100006103516,223.7100067138672,223.7100067138672,140447600
11/10/23,210.02999877929688,215.3800048828125,205.69000244140625,214.6499938964844,214.6499938964844,130994000
11/9/23,219.75,220.8000030517578,206.67999267578125,209.97999572753903,209.97999572753903,142110500
11/8/23,223.1499938964844,224.1499938964844,217.63999938964844,222.1100006103516,222.1100006103516,106584800
11/7/23,219.97999572753903,223.1199951171875,215.72000122070312,222.17999267578125,222.17999267578125,116900100
11/6/23,223.97999572753903,226.32000732421875,215,219.2700042724609,219.2700042724609,117335800
11/3/23,221.1499938964844,226.3699951171875,218.3999938964844,219.9600067138672,219.9600067138672,119281000
11/2/23,212.97000122070312,219.1999969482422,211.4499969482422,218.5099945,218.5099945,125987600
11/1/23,204.0399932861328,205.9900054931641,197.8500061035156,205.66000366210932,205.66000366210932,121661700
10/31/23,196.1199951171875,202.8000030517578,194.07000732421875,200.83999633789065,200.83999633789065,118068300
10/30/23,209.27999877929688,210.8800048828125,194.6699981689453,197.3600006103516,197.3600006103516,136448200
10/27/23,210.6000061035156,212.41000366210932,205.7700042724609,207.3000030517578,207.3000030517578,94881200
10/26/23,211.32000732421875,214.8000030517578,204.8800048828125,205.7599945,205.7599945,115112600
10/25/23,215.8800048828125,220.1000061035156,212.1999969482422,212.4199981689453,212.4199981689453,107065100
10/24/23,216.5,222.0500030517578,214.1100006103516,216.5200042724609,216.5200042724609,118231100
10/23/23,210,216.97999572753903,202.5099945,212.0800018310547,212.0800018310547,150683400
10/20/23,217.0099945,218.8600006103516,210.4199981689453,211.9900054931641,211.9900054931641,137734000
10/19/23,225.9499969482422,230.6100006103516,216.77999877929688,220.1100006103516,220.1100006103516,170772700
10/18/23,252.6999969482422,254.6300048828125,242.0800018310547,242.67999267578125,242.67999267578125,125147800
10/17/23,250.1000061035156,257.17999267578125,247.0800018310547,254.8500061035156,254.8500061035156,93562900
10/16/23,250.0500030517578,255.3999938964844,248.47999572753903,253.9199981689453,253.9199981689453,88917200
10/13/23,258.8999938964844,259.6000061035156,250.22000122070312,251.1199951171875,251.1199951171875,102073800
10/12/23,262.9200134277344,265.4100036621094,256.6300048828125,258.8699951171875,258.8699951171875,111508100
10/11/23,266.20001220703125,268.6000061035156,260.8999938964844,262.9899902,262.9899902,103706300
10/10/23,257.75,268.94000244140625,257.6499938964844,263.6199951171875,263.6199951171875,122656000
10/9/23,255.3099975585937,261.3599853515625,252.0500030517578,259.6700134277344,259.6700134277344,101377900
10/6/23,253.97999572753903,261.6499938964844,250.6499938964844,260.5299987792969,260.5299987792969,117947000
10/5/23,260,263.6000061035156,256.25,260.04998779296875,260.04998779296875,119159200
