True_Data,Base,True_Data_origin,Predicted_Data,Predicted_Data_origin
-0.012425968,40.6106987,40.10607147,0.022607086,41.52878834
0.023923367,40.17816162,41.13935852,0.029011868,41.34380424
0.064673586,39.38516998,41.93235016,0.035501447,40.78340181
0.065594062,38.83248138,41.37966156,0.08625128,42.18183178
0.066953328,39.12083817,41.74010849,0.092633255,42.74472845
0.086419768,38.92860031,42.2928009,0.09878048,42.77398741
0.066625581,38.95262909,41.54787064,0.0919141,42.53292329
0.082754268,38.03948975,41.18741989,0.0981897,41.77457628
0.101910802,37.72710037,41.57189941,0.10451347,41.67008816
0.082389944,38.20769882,41.35562897,0.09496653,41.83615143
0.103006976,37.5588913,41.42771912,0.10153061,41.37226626
0.046942522,38.90457153,40.73085022,0.107826814,43.09952811
0.022598917,38.27978897,39.14487076,0.06925222,40.93075058
-0.003107461,38.66426849,38.54412079,0.07585718,41.59723019
-0.004458574,37.72710037,37.5588913,0.082213074,40.82876014
-0.013020791,36.91007996,36.42948151,0.021383304,37.69933874
-0.046794933,37.48680115,35.7326088,0.027316883,38.51082539
-0.066291438,38.42396927,35.87678909,0.033045262,39.69370055
-0.095297836,38.32785034,34.67528915,-0.059017755,36.0658258
-0.063472339,38.61621094,36.16514969,-0.053841874,36.5370412
0.02534108,36.9821701,37.91933823,-0.04812798,35.20229189
0.083616654,35.34812927,38.30382156,0.078868754,38.13599193
0.086266388,34.81946945,37.8232193,0.08351107,37.72728214
0.100769752,34.338871,37.79919052,0.08811772,37.36473398
0.087586246,34.84349823,37.89530945,0.08949435,37.96179437
0.083561632,35.08380127,38.01546097,0.09568805,38.44090372
0.012804158,37.5348587,38.01546097,0.102565214,41.38462784
0.010197565,37.70307159,38.08755112,0.014498582,38.24971302
-0.03425077,39.28905106,37.94337082,0.021359779,40.12825738
-0.01488827,38.73635864,38.15964127,0.02818428,39.82811559
-0.078817736,39.02471924,35.94887924,-0.015379004,38.42455763
-0.089425944,39.76964951,36.21321106,-0.00859103,39.42798623
-0.056166106,39.3611412,37.15037918,-0.001873538,39.28739602
-0.042168729,39.88980103,38.20769882,-0.062225066,37.40765641
-0.009834039,39.09680939,38.71232986,-0.05609317,36.90374595
-0.003082653,38.97666168,38.85651016,-0.049193174,37.05927716
