True_Data,Base,True_Data_origin,Predicted_Data,Predicted_Data_origin
-0.05954131389628148,1898.01000977,1785.0,-0.10624953,1696.3473738996793
-0.09910555859229364,1874.9699707,1689.15002441,-0.087313734,1711.2593833386054
-0.04994536640054359,1902.88000488,1807.83996582,-0.048690744,1810.2273763636567
-0.040307094354330664,1906.85998535,1830.0,-0.052141704,1807.4330144411028
-0.0058351438770010144,1891.9699707,1880.93005371,-0.03470827,1826.3029822259662
-0.028910381945927766,1901.05004883,1846.08996582,-0.0016564727,1897.9010113551867
0.01044516743823376,1883.16003418,1902.82995605,-0.021345653,1842.962712133209
0.02580231877548389,1891.30004883,1940.0999755899998,-0.003632076,1884.430717245099
0.008772693921170083,1869.43994141,1885.83996582,0.028336465,1922.413372977302
0.050198155615745366,1862.02001953,1955.48999023,0.01399485,1888.0786414411398
0.011800182578449059,1877.93994141,1900.09997559,0.03507591,1943.8103805198734
0.053214413975922525,1864.7199707,1963.9499511699998,0.06414926,1984.3403778990246
0.03050738409090914,1892.0,1949.7199707000002,0.036321707,1960.7207684516907
0.01072340110458292,1887.45996094,1907.69995117,0.057067424,1995.1723826744942
0.018173811034150278,1884.57995605,1918.82995605,0.08434183,2043.528979449936
0.024145350774731345,1861.64001465,1906.5899658200003,0.031300075,1919.9094735169017
0.09257031141037952,1828.33996582,1997.58996582,0.052648276,1924.598967616787
0.08544447623903961,1853.25,2011.5999755900002,0.0814133,2004.1291408538818
0.09956942949407965,1858.0,2043.0,0.07771137,2002.3876767158508
0.09198791408435913,1870.68005371,2042.76000977,0.0987003,2055.31670807621
0.07972746267574116,2008.7199707,2168.87011719,0.123751156,2257.301404184992
0.1392676000351445,2004.19995117,2283.32006836,0.0803884,2165.3144321985137
0.12587880956136988,2049.66992188,2307.67993164,0.101966836,2258.668323567059
0.1805605000177144,2039.86999512,2408.18994141,0.12728472,2299.5143685761705
0.1584066288288053,2050.22998047,2375.0,0.173421,2405.7829657350785
0.15117255669782037,2079.2800293,2393.61010742,0.1952259,2485.2094567692357
0.09101143585202531,2133.90991211,2328.12011719,0.21686466,2596.679655879303
